file,layer_name,type,priority,x,y,width,height,z_index,canvas_width,canvas_height,kv_canvas_width,kv_canvas_height,kv_x,kv_y,kv_width,kv_height,kv_z_index,is_in_kv
Propel_EB_KV.psd,BACKGROUND,BACKGROUND,-1,0,0,1920,1080,0,1920,1080,1920.0,1080.0,0.0,0.0,1920.0,1080.0,0.0,1
Propel_EB_KV.psd,SKUs,PRODUCT,2,82,41,376,1003,1,1920,1080,1920.0,1080.0,82.0,41.0,376.0,1003.0,1.0,1
Propel_EB_KV.psd,COPY,TEXT,2,545,338,550,410,2,1920,1080,1920.0,1080.0,545.0,338.0,550.0,410.0,2.0,1
Propel_EB_KV.psd,SUB HEADING,TEXT,2,1149,474,693,138,3,1920,1080,1920.0,1080.0,1149.0,474.0,693.0,138.0,3.0,1
Propel_KV.psd,BACKGROUND,BACKGROUND,-1,0,0,1920,1080,0,1920,1080,1920.0,1080.0,0.0,0.0,1920.0,1080.0,0.0,1
Propel_KV.psd,COPY,TEXT,2,862,385,419,312,1,1920,1080,1920.0,1080.0,862.0,385.0,419.0,312.0,1.0,1
Propel_KV.psd,SUB HEADING,TEXT,2,1323,488,529,106,2,1920,1080,1920.0,1080.0,1323.0,488.0,529.0,106.0,2.0,1
Propel_KV.psd,SKUs,PRODUCT,2,127,151,697,780,3,1920,1080,1920.0,1080.0,127.0,151.0,697.0,780.0,3.0,1
Ruffles_KV.psd,BACKGROUND,BACKGROUND,-1,0,0,1920,1080,0,1920,1080,1920.0,1080.0,0.0,0.0,1920.0,1080.0,0.0,1
Ruffles_KV.psd,COPY,TEXT,2,0,107,913,483,1,1920,1080,1920.0,1080.0,0.0,107.0,913.0,483.0,1.0,1
Ruffles_KV.psd,LOGO,LOGO,0,1305,784,568,265,2,1920,1080,1920.0,1080.0,1305.0,784.0,568.0,265.0,2.0,1
Ruffles_KV.psd,SKUs,PRODUCT,2,644,21,795,930,3,1920,1080,1920.0,1080.0,644.0,21.0,795.0,930.0,3.0,1
StarbucksChristmas_KV.psd,BACKGROUND,BACKGROUND,-1,0,0,1920,1080,0,1920,1080,1920.0,1080.0,0.0,0.0,1920.0,1080.0,0.0,1
StarbucksChristmas_KV.psd,COPY,TEXT,2,34,475,749,430,1,1920,1080,1920.0,1080.0,34.0,475.0,749.0,430.0,1.0,1
StarbucksChristmas_KV.psd,LEGAL,LEGAL,3,34,978,711,52,2,1920,1080,1920.0,1080.0,34.0,978.0,711.0,52.0,2.0,1
StarbucksChristmas_KV.psd,OFFER,PRICE,3,281,48,295,353,3,1920,1080,1920.0,1080.0,281.0,48.0,295.0,353.0,3.0,1
